1,de,de,d,de,,,,,,
2,la,la,l,la,,,,,,
3,que,que,q,qu,que,,,,,
4,el,el,e,el,,,,,,
5,en,en,e,en,,,,,,
8,los,los,l,lo,los,,,,,
9,se,se,s,se,,,,,,
10,del,del,d,de,del,,,,,
11,las,las,l,la,las,,,,,
13,por,por,p,po,por,,,,,
14,con,con,c,co,con,,,,,
15,no,no,n,no,,,,,,
16,una,una,u,un,una,,,,,
17,su,su,s,su,,,,,,
18,para,para,p,pa,par,para,,,,
19,es,es,e,es,,,,,,
21,lo,lo,l,lo,,,,,,
22,como,como,c,co,com,como,,,,
23,mas,más,m,ma,mas,,,,,
25,pero,pero,p,pe,per,pero,,,,
27,le,le,l,le,,,,,,
29,me,me,m,me,,,,,,
30,si,si,s,si,,,,,,
32,sobre,sobre,s,so,sob,sobr,sobre,,,
33,este,este,e,es,est,este,,,,
34,ya,ya,y,ya,,,,,,
35,entre,entre,e,en,ent,entr,entre,,,
36,cuando,cuando,c,cu,cua,cuan,cuand,cuando,,
37,todo,todo,t,to,tod,todo,,,,
38,esta,esta,e,es,est,esta,,,,
41,dos,dos,d,do,dos,,,,,
42,tambien,también,t,ta,tam,tamb,tambi,tambie,tambien,
43,fue,fue,f,fu,fue,,,,,
44,habia,había,h,ha,hab,habi,habia,,,
45,era,era,e,er,era,,,,,
46,muy,muy,m,mu,muy,,,,,
47,años,años,a,añ,año,años,,,,
48,hasta,hasta,h,ha,has,hast,hasta,,,
49,desde,desde,d,de,des,desd,desde,,,
50,esta,está,e,es,est,esta,,,,
51,mi,mi,m,mi,,,,,,
52,porque,porque,p,po,por,porq,porqu,porque,,
53,que,qué,q,qu,que,,,,,
54,solo,sólo,s,so,sol,solo,,,,
55,han,han,h,ha,han,,,,,
56,yo,yo,y,yo,,,,,,
57,hay,hay,h,ha,hay,,,,,
58,vez,vez,v,ve,vez,,,,,
59,puede,puede,p,pu,pue,pued,puede,,,
60,todos,todos,t,to,tod,todo,todos,,,
61,asi,así,a,as,asi,,,,,
62,nos,nos,n,no,nos,,,,,
64,parte,parte,p,pa,par,part,parte,,,
65,tiene,tiene,t,ti,tie,tien,tiene,,,
66,el,él,e,el,el,el,el,,,
67,uno,uno,u,un,uno,,,,,
68,donde,donde,d,do,don,dond,donde,,,
69,bien,bien,b,bi,bie,bien,,,,
70,tiempo,tiempo,t,ti,tie,tiem,tiemp,tiempo,,
71,mismo,mismo,m,mi,mis,mism,mismo,,,
72,ese,ese,e,es,ese,,,,,
73,ahora,ahora,a,ah,aho,ahor,ahora,,,
74,cada,cada,c,ca,cad,cada,,,,
76,vida,vida,v,vi,vid,vida,,,,
77,otro,otro,o,ot,otr,otro,,,,
78,despues,después,d,de,des,desp,despu,despue,despues,
79,te,te,t,te,,,,,,
80,otros,otros,o,ot,otr,otro,otros,,,
81,aunque,aunque,a,au,aun,aunq,aunqu,aunque,,
82,esa,esa,e,es,esa,,,,,
83,eso,eso,e,es,eso,,,,,
84,hace,hace,h,ha,hac,hace,,,,
85,otra,otra,o,ot,otr,otra,,,,
86,gobierno,gobierno,g,go,gob,gobi,gobie,gobier,gobiern,gobierno
88,durante,durante,d,du,dur,dura,duran,durant,durante,
89,siempre,siempre,s,si,sie,siem,siemp,siempr,siempre,
90,dia,día,d,di,dia,,,,,
91,tanto,tanto,t,ta,tan,tant,tanto,,,
92,ella,ella,e,el,ell,ella,,,,
93,tres,tres,t,tr,tre,tres,,,,
94,si,sí,s,si,,,,,,
95,dijo,dijo,d,di,dij,dijo,,,,
96,sido,sido,s,si,sid,sido,,,,
97,gran,gran,g,gr,gra,gran,,,,
98,pais,país,p,pa,pai,pais,,,,
99,segun,según,s,se,seg,segu,segun,,,
100,menos,menos,m,me,men,meno,menos,,,
